gear_type,year,gear_production_ton,year_total,share
covo peixe,2014,53.5,3731.2000000000003,0.014338550600343052
covo peixe e lagosta,2014,3.6,3731.2000000000003,0.00096483704974271
curral,2014,1.6,3731.2000000000003,0.0004288164665523156
jereré,2014,0.4,3731.2000000000003,0.0001072041166380789
linha,2014,1318.4,3731.2000000000003,0.35334476843910806
linha e covo peixe,2014,1.9000000000000001,3731.2000000000003,0.0005092195540308748
linha e espinhel,2014,3.4000000000000004,3731.2000000000003,0.0009112349914236707
linha e jereré,2014,1079.6,3731.2000000000003,0.2893439108061749
linha e mergulho livre,2014,2.2,3731.2000000000003,0.0005896226415094339
linha e rede de espera,2014,23.7,3731.2000000000003,0.006351843910806175
mergulho livre,2014,16.0,3731.2000000000003,0.004288164665523155
puçá,2014,8.6,3731.2000000000003,0.0023048885077186962
rede agulha,2014,78.10000000000001,3731.2000000000003,0.020931603773584908
rede caçoeira,2014,22.6,3731.2000000000003,0.006057032590051458
rede de espera,2014,602.8000000000001,3731.2000000000003,0.1615566037735849
rede de tapagem,2014,0.6000000000000001,3731.2000000000003,0.00016080617495711836
sardinheira,2014,48.1,3731.2000000000003,0.012891295025728987
tarrafa,2014,35.2,3731.2000000000003,0.009433962264150943
traineira,2014,223.0,3731.2000000000003,0.059766295025728985
tremalho,2014,80.6,3731.2000000000003,0.021601629502572897
arrasto de porta,2015,2.0,4119.799999999999,0.0004854604592455945
arrasto de praia,2015,6.2,4119.799999999999,0.001504927423661343
coleta manual,2015,45.2,4119.799999999999,0.010971406378950437
compressor,2015,85.4,4119.799999999999,0.020729161609786887
coqueiro,2015,1.2,4119.799999999999,0.0002912762755473567
covo lagosta,2015,37.2,4119.799999999999,0.00902956454196806
covo peixe,2015,47.3,4119.799999999999,0.01148113986115831
covo peixe e lagosta,2015,11.7,4119.799999999999,0.0028399436865867277
curral,2015,3.8,4119.799999999999,0.0009223748725666295
jereré,2015,1.2,4119.799999999999,0.0002912762755473567
linha,2015,2208.6,4119.799999999999,0.53609398514491
linha e covo lagosta,2015,0.0,4119.799999999999,0.0
linha e covo peixe,2015,3.7,4119.799999999999,0.00089810184960435
linha e espinhel,2015,6.5,4119.799999999999,0.0015777464925481822
linha e jereré,2015,385.4,4119.799999999999,0.09354823049662606
linha e rede de espera,2015,105.89999999999999,4119.799999999999,0.02570513131705423
mergulho livre,2015,19.5,4119.799999999999,0.0047332394776445465
puçá,2015,7.8,4119.799999999999,0.0018932957910578186
rede agulha,2015,112.30000000000001,4119.799999999999,0.027258604786640137
rede caçoeira,2015,30.7,4119.799999999999,0.007451818049419876
rede de espera,2015,564.1,4119.799999999999,0.13692412253021993
rede de tapagem,2015,0.4,4119.799999999999,9.709209184911891e-05
sardinheira,2015,153.2,4119.799999999999,0.03718627117821254
tarrafa,2015,26.0,4119.799999999999,0.006310985970192729
traineira,2015,201.2,4119.799999999999,0.04883732220010681
tremalho,2015,53.300000000000004,4119.799999999999,0.012937521238895095
arrasto de porta,2016,13.8,7280.5,0.0018954742119359936
arrasto de praia,2016,13.7,7280.5,0.0018817388915596455
coleta manual,2016,97.5,7280.5,0.013391937366939085
compressor,2016,140.8,7280.5,0.019339331089897674
coqueiro,2016,0.4,7280.5,5.4941281505391115e-05
covo lagosta,2016,71.5,7280.5,0.009820754069088661
covo peixe,2016,117.9,7280.5,0.016193942723714033
covo peixe e lagosta,2016,12.9,7280.5,0.0017718563285488635
curral,2016,12.4,7280.5,0.0017031797266671245
jereré,2016,3.8,7280.5,0.0005219421743012156
linha,2016,3073.2000000000003,7280.5,0.42211386580592
linha e covo lagosta,2016,12.2,7280.5,0.0016757090859144288
linha e covo peixe,2016,9.6,7280.5,0.0013185907561293867
linha e espinhel,2016,11.2,7280.5,0.0015383558821509512
linha e jereré,2016,1210.5,7280.5,0.16626605315568985
linha e mergulho livre,2016,4.4,7280.5,0.0006043540965593023
linha e rede de espera,2016,117.19999999999999,7280.5,0.016097795481079594
mergulho livre,2016,32.599999999999994,7280.5,0.004477714442689375
puçá,2016,17.0,7280.5,0.0023350044639791224
rede agulha,2016,210.40000000000003,7280.5,0.028899114071835732
rede caçoeira,2016,60.8,7280.5,0.008351074788819449
rede de espera,2016,1215.6,7280.5,0.16696655449488357
rede de tapagem,2016,2.7,7280.5,0.00037085365016139004
sardinheira,2016,133.7,7280.5,0.01836412334317698
tarrafa,2016,55.5,7280.5,0.007623102808873017
traineira,2016,472.0,7280.5,0.06483071217636151
tremalho,2016,157.20000000000002,7280.5,0.02159192363161871
arrasto de porta,2017,13.600000000000001,7359.900000000001,0.0018478511936303483
arrasto de praia,2017,11.7,7359.900000000001,0.0015896955121672846
coleta manual,2017,112.19999999999999,7359.900000000001,0.01524477234745037
compressor,2017,150.8,7359.900000000001,0.02048940882348945
coqueiro,2017,0.4,7359.900000000001,5.434856451853965e-05
covo lagosta,2017,71.6,7359.900000000001,0.009728393048818597
covo peixe,2017,118.10000000000001,7359.900000000001,0.01604641367409883
covo peixe e lagosta,2017,14.6,7359.900000000001,0.001983722604926697
curral,2017,6.4,7359.900000000001,0.0008695770322966344
jereré,2017,2.0,7359.900000000001,0.0002717428225926982
linha,2017,3029.0,7359.900000000001,0.4115545048166415
linha e covo lagosta,2017,5.2,7359.900000000001,0.0007065313387410154
linha e covo peixe,2017,10.2,7359.900000000001,0.001385888395222761
linha e espinhel,2017,14.8,7359.900000000001,0.0020108968871859674
linha e jereré,2017,1386.3,7359.900000000001,0.1883585374801288
linha e mergulho livre,2017,5.9,7359.900000000001,0.0008016413266484599
linha e rede de espera,2017,134.3,7359.900000000001,0.01824753053709969
mergulho livre,2017,30.0,7359.900000000001,0.0040761423388904735
puçá,2017,17.2,7359.900000000001,0.0023369882742972047
rede agulha,2017,177.0,7359.900000000001,0.024049239799453795
rede caçoeira,2017,49.0,7359.900000000001,0.006657699153521107
rede de espera,2017,1132.2,7359.900000000001,0.1538336118697265
rede de tapagem,2017,2.0,7359.900000000001,0.0002717428225926982
sardinheira,2017,168.0,7359.900000000001,0.022826397097786652
tarrafa,2017,67.3,7359.900000000001,0.009144145980244297
traineira,2017,451.9,7359.900000000001,0.06140029076482017
tremalho,2017,178.2,7359.900000000001,0.02421228549300941
arrasto de porta,2018,8.100000000000001,3693.4999999999995,0.002193041830242318
arrasto de praia,2018,3.1,3693.4999999999995,0.0008393123054013809
coleta manual,2018,200.4,3693.4999999999995,0.054257479355624756
compressor,2018,42.4,3693.4999999999995,0.011479626370651145
coqueiro,2018,139.5,3693.4999999999995,0.03776905374306214
covo lagosta,2018,43.8,3693.4999999999995,0.011858670637606606
covo peixe,2018,25.4,3693.4999999999995,0.0068769459861919595
covo peixe e lagosta,2018,2.5,3693.4999999999995,0.0006768647624204685
curral,2018,0.8,3693.4999999999995,0.00021659672397454993
jereré,2018,1.2,3693.4999999999995,0.00032489508596182486
linha,2018,2347.8999999999996,3693.4999999999995,0.6356843102748071
linha e espinhel,2018,0.6,3693.4999999999995,0.00016244754298091243
linha e jereré,2018,16.4,3693.4999999999995,0.004440232841478273
linha e rede de espera,2018,135.1,3693.4999999999995,0.03657777176120212
mergulho livre,2018,13.700000000000001,3693.4999999999995,0.0037092188980641675
puçá,2018,4.5,3693.4999999999995,0.0012183565723568432
rede agulha,2018,54.6,3693.4999999999995,0.014782726411263032
rede caçoeira,2018,8.8,3693.4999999999995,0.0023825639637200494
rede de espera,2018,383.8,3693.4999999999995,0.10391227832679033
rede de tapagem,2018,0.2,3693.4999999999995,5.414918099363748e-05
sardinheira,2018,50.199999999999996,3693.4999999999995,0.013591444429403006
tarrafa,2018,3.9,3693.4999999999995,0.0010559090293759308
traineira,2018,147.4,3693.4999999999995,0.03990794639231082
tremalho,2018,59.2,3693.4999999999995,0.016028157574116693
arrasto de porta,2019,24.6,7817.4,0.0031468263105380308
arrasto de praia,2019,13.9,7817.4,0.0017780847852227083
coleta manual,2019,733.0,7817.4,0.09376519047253563
compressor,2019,95.5,7817.4,0.012216337912861055
coqueiro,2019,1.5,7817.4,0.00019187965308158723
covo lagosta,2019,35.7,7817.4,0.004566735743341777
covo peixe,2019,88.7,7817.4,0.011346483485557859
covo peixe e lagosta,2019,4.0,7817.4,0.0005116790748842326
curral,2019,6.4,7817.4,0.0008186865198147723
jereré,2019,8.2,7817.4,0.0010489421035126767
linha,2019,4186.4,7817.4,0.5355233197738378
linha e covo lagosta,2019,0.0,7817.4,0.0
linha e covo peixe,2019,0.0,7817.4,0.0
linha e espinhel,2019,8.2,7817.4,0.0010489421035126767
linha e jereré,2019,756.7,7817.4,0.09679688899122471
linha e mergulho livre,2019,1.0,7817.4,0.00012791976872105816
linha e rede de espera,2019,139.5,7817.4,0.017844807736587615
mergulho livre,2019,40.1,7817.4,0.005129582725714433
puçá,2019,15.7,7817.4,0.002008340368920613
rede agulha,2019,123.0,7817.4,0.015734131552690152
rede caçoeira,2019,19.2,7817.4,0.0024560595594443164
rede de espera,2019,797.1999999999999,7817.4,0.10197763962442756
rede de tapagem,2019,4.2,7817.4,0.0005372630286284443
sardinheira,2019,164.9,7817.4,0.02109396986210249
tarrafa,2019,17.3,7817.4,0.002213011998874306
traineira,2019,344.6,7817.4,0.04408115230127664
tremalho,2019,187.9,7817.4,0.02403612454268683
arrasto de porta,2020,20.1,6618.900000000001,0.003036758373747904
arrasto de praia,2020,1.5,6618.900000000001,0.00022662375923491817
