local,year,species,sp_production_ton,rel_abundance
AREIA BRANCA,2015,Cavala,5.8,0.0027205778882686805
AREIA BRANCA,2015,Caçao,2.6,0.0012195693981894085
AREIA BRANCA,2015,Cioba,11.8,0.005534968807167316
AREIA BRANCA,2015,Cururuca,4.7,0.0022046062198039307
AREIA BRANCA,2015,Dentao,1.9,0.0008912237909845677
AREIA BRANCA,2015,Dourado,24.0,0.01125756367559454
AREIA BRANCA,2015,Espada,0.1,4.690651531497725e-05
AREIA BRANCA,2015,Garabebeu,0.0,0.0
AREIA BRANCA,2015,Garajuba,13.2,0.006191660021576996
AREIA BRANCA,2015,Garoupa,0.5,0.00023453257657488625
AREIA BRANCA,2015,Guaiuba,10.9,0.00511281016933252
AREIA BRANCA,2015,Lagosta,44.5,0.020873399315164874
AREIA BRANCA,2015,Marisco,0.0,0.0
AREIA BRANCA,2015,Outros,16.8,0.007880294572916178
AREIA BRANCA,2015,Ova Voador,0.0,0.0
AREIA BRANCA,2015,Pargo,0.9,0.00042215863783479524
AREIA BRANCA,2015,Paru,3.3,0.001547915005394249
AREIA BRANCA,2015,Peixe Galo,1.6,0.000750504245039636
AREIA BRANCA,2015,Peixe Voador,0.0,0.0
AREIA BRANCA,2015,Pescada,6.1,0.002861297434213612
AREIA BRANCA,2015,Pirauna,0.0,0.0
AREIA BRANCA,2015,Polvo,0.1,4.690651531497725e-05
AREIA BRANCA,2015,Salema,1.2,0.000562878183779727
AREIA BRANCA,2015,Saramunete,0.0,0.0
AREIA BRANCA,2015,Sardinha,0.1,4.690651531497725e-05
AREIA BRANCA,2015,Serra,4.6,0.002157699704488953
AREIA BRANCA,2015,Siri,0.1,4.690651531497725e-05
AREIA BRANCA,2015,Sirigado,1.9,0.0008912237909845677
AREIA BRANCA,2015,Tainha,1.6,0.000750504245039636
AREIA BRANCA,2015,Tilapia,0.0,0.0
AREIA BRANCA,2015,Ubarana,0.5,0.00023453257657488625
AREIA BRANCA,2015,Xareu,0.2,9.38130306299545e-05
AREIA BRANCA,2016,Agulha,9.5,0.0030942609601980328
AREIA BRANCA,2016,Albacora,2608.6,0.8496514885023777
AREIA BRANCA,2016,Arabaiana,3.7,0.0012051332160771286
AREIA BRANCA,2016,Ariaco,33.4,0.01087877011269624
AREIA BRANCA,2016,Arraia,7.2,0.002345124096150088
AREIA BRANCA,2016,Bagre,4.8,0.0015634160641000586
