local,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,cpue_ton_per_trip,platform_exposure_class,mpa_exposure_class,cpue_per_vessel,cpue_per_fisherman,log_fleet,log_fishermen,log_fleet_c,log_fishermen_c,year_c,log_cpue
GALINHOS,2017,204.0,1144,58.0,126.0,0.1783216783216783,20-50 km,10-25 km,3.5172413793103448,1.619047619047619,4.060443010546419,4.836281906951478,-0.38649306568302233,-0.5282937404690085,3.0,-1.7241661780955269
GALINHOS,2018,75.99,899,53.0,119.0,0.0845272525027808,20-50 km,10-25 km,1.4337735849056603,0.6385714285714286,3.970291913552122,4.77912349311153,-0.47664416267731946,-0.5854521543089568,4.0,-2.4706812817899277
GALINHOS,2019,222.479,3526,53.0,130.0,0.063096710153148,20-50 km,10-25 km,4.197716981132076,1.7113769230769231,3.970291913552122,4.867534450455582,-0.47664416267731946,-0.49704119696490423,5.0,-2.7630866478282567
GALINHOS,2020,179.61,3502,50.0,112.0,0.0512878355225585,20-50 km,10-25 km,3.5922,1.6036607142857144,3.912023005428146,4.718498871295094,-0.5349130708012955,-0.6460767761253923,6.0,-2.9703016792404275
GALINHOS,2021,194.2537,4381,49.0,116.9,0.0443400365213421,20-50 km,10-25 km,3.964361224489796,1.6617082976903337,3.8918202981106265,4.761318868478023,-0.555115778118815,-0.6032567789424634,7.0,-3.115867251128499
GALINHOS,2022,197.49,4382,46.8,111.0,0.0450684618895481,20-50 km,10-25 km,4.219871794871795,1.7791891891891893,3.845883202923601,4.709530201312334,-0.6010528733058402,-0.6550454461081525,8.0,-3.099572570007518
GALINHOS,2023,232.49,4754,50.0,114.7,0.0489040807740849,20-50 km,10-25 km,4.6498,2.026939843068875,3.912023005428146,4.742320024135325,-0.5349130708012955,-0.6222556232851613,9.0,-3.017894434570407
GALINHOS,2024,178.1,3800,48.3,109.0,0.0468684210526315,20-50 km,10-25 km,3.687370600414079,1.6339449541284403,3.877431560658527,4.6913478822291435,-0.5695045155709146,-0.673227765191343,10.0,-3.060411155418863
GROSSOS,2009,72.139,1051,43.0,116.0,0.068638439581351,20-50 km,10-25 km,1.6776511627906976,0.6218879310344827,3.7612001156935624,4.7535901911063645,-0.685735960535879,-0.6109854563141219,-5.0,-2.678902557432763
GROSSOS,2010,108.012,4398,92.0,103.5,0.0245593451568894,20-50 km,10-25 km,1.1740434782608695,1.0435942028985508,4.5217885770490405,4.639571612705423,0.07485250081959904,-0.725004034715063,-4.0,-3.706662839051762
GROSSOS,2011,103.226,4275,137.0,112.0,0.024146432748538,20-50 km,10-25 km,0.7534744525547445,0.9216607142857143,4.919980925828125,4.718498871295094,0.47304484959868365,-0.6460767761253923,-3.0,-3.723618622069947
GROSSOS,2012,97.0,5787,78.0,84.5,0.0167617072749265,20-50 km,10-25 km,1.2435897435897436,1.1479289940828403,4.356708826689592,4.436751534363128,-0.09022724953984973,-0.9278241130573583,-2.0,-4.08865832307046
GROSSOS,2013,78.7,4730,73.0,50.0,0.0166384778012684,20-50 km,10-25 km,1.0780821917808219,1.574,4.290459441148391,3.912023005428146,-0.15647663508105047,-1.4525526419923405,-1.0,-4.096037326062627
GROSSOS,2014,35.9,2514,37.0,78.0,0.0142800318217979,20-50 km,10-25 km,0.9702702702702702,0.46025641025641023,3.6109179126442243,4.356708826689592,-0.8360181635852171,-1.0078668207308947,0.0,-4.248893093655962
GROSSOS,2015,34.6,2325,36.0,80.0,0.0148817204301075,20-50 km,10-25 km,0.9611111111111111,0.4325,3.58351893845611,4.382026634673881,-0.8634171377733315,-0.9825490127466052,1.0,-4.20762163595778
GROSSOS,2016,75.0,2281,34.0,79.0,0.0328803156510302,20-50 km,10-25 km,2.2058823529411766,0.9493670886075949,3.5263605246161616,4.3694478524670215,-0.9205755516132799,-0.9951277949534649,2.0,-3.414881108748079
GROSSOS,2017,75.0,1482,43.0,89.0,0.0506072874493927,20-50 km,10-25 km,1.744186046511628,0.8426966292134831,3.7612001156935624,4.48863636973214,-0.685735960535879,-0.8759392776883468,3.0,-2.983659692319722
GROSSOS,2018,17.77,682,25.0,59.0,0.0260557184750733,20-50 km,10-25 km,0.7108,0.30118644067796607,3.2188758248682006,4.07753744390572,-1.2280602513612409,-1.2870382035147667,4.0,-3.6475180156769027
GROSSOS,2019,34.307,14632,21.0,53.0,0.0023446555494805,20-50 km,10-25 km,1.6336666666666668,0.6473018867924528,3.044522437723423,3.970291913552122,-1.4024136385060184,-1.3942837338683645,5.0,-6.0556167750880165
GROSSOS,2020,176.07,1280,17.0,46.0,0.1375546875,20-50 km,10-25 km,10.357058823529412,3.8276086956521738,2.833213344056216,3.828641396489095,-1.6137227321732253,-1.5359342509313914,6.0,-1.9837337136753102
GROSSOS,2021,28.3846,1219,20.0,52.5,0.0232851517637407,20-50 km,10-25 km,1.41923,0.5406590476190476,2.995732273553991,3.960813169597578,-1.4512038026754506,-1.4037624778229083,7.0,-3.759939384907851
GROSSOS,2022,30.37,1343,24.1,47.3,0.0226135517498138,20-50 km,10-25 km,1.2601659751037344,0.6420718816067654,3.1822118404966093,3.856510295497887,-1.264724235732832,-1.5080653519225993,8.0,-3.7892059174655826
GROSSOS,2023,33.19,1437,17.0,54.6,0.0230967292971468,20-50 km,10-25 km,1.9523529411764704,0.6078754578754578,2.833213344056216,4.000033882750859,-1.6137227321732253,-1.3645417646696272,9.0,-3.7680642603471433
GROSSOS,2024,25.8,1113,23.5,52.0,0.0231805929919137,20-50 km,10-25 km,1.097872340425532,0.49615384615384617,3.1570004211501135,3.9512437185814275,-1.289935655079328,-1.413331928839059,10.0,-3.764439859347975
GUAMARE,2001,42.64,1047,57.0,156.8,0.0407258834765998,0-20 km,0-10 km,0.7480701754385966,0.27193877551020407,4.04305126783455,5.054971107916307,-0.40388480839489116,-0.3096045395041793,-13.0,-3.200891431012948
GUAMARE,2002,73.38,2007,76.0,204.9,0.0365620328849028,0-20 km,0-10 km,0.9655263157894737,0.35812591508052705,4.330733340286331,5.322522055244854,-0.11620273594311037,-0.042053592175632204,-12.0,-3.3087449298692033
GUAMARE,2003,67.68,1770,74.0,189.48,0.0382372881355932,0-20 km,0-10 km,0.9145945945945947,0.35718809373020904,4.30406509320417,5.244283478055551,-0.14287098302527124,-0.12029216936493548,-11.0,-3.2639441102699074
GUAMARE,2004,149.06,3070,85.0,215.33,0.0485537459283387,0-20 km,0-10 km,1.7536470588235293,0.6922398179538383,4.442651256490317,5.372171735118517,-0.004284819739124757,0.007596087698030551,-10.0,-3.0250839311276962
GUAMARE,2005,82.16,1687,72.0,184.08,0.0487018375815056,0-20 km,0-10 km,1.141111111111111,0.44632768361581915,4.276666119016055,5.21537044572711,-0.17026995721338611,-0.14920520169337603,-9.0,-3.022038516925666
GUAMARE,2006,48.93,1224,50.0,158.87,0.0399754901960784,0-20 km,0-10 km,0.9786,0.3079876628690124,3.912023005428146,5.068086257731932,-0.5349130708012955,-0.29648938968855454,-8.0,-3.21948875777124
GUAMARE,2007,51.93,1025,51.0,163.13,0.0506634146341463,0-20 km,0-10 km,1.0182352941176471,0.3183350701894195,3.9318256327243257,5.0945474289482116,-0.5151104435051157,-0.2700282184722749,-7.0,-2.982551233716282
GUAMARE,2008,462.76,4544,120.0,299.8,0.1018397887323943,0-20 km,0-10 km,3.856333333333333,1.543562374916611,4.787491742782046,5.703115585668497,0.3405556665526044,0.33853993824801076,-6.0,-2.2843543992403
GUAMARE,2009,438.737,4440,134.0,176.5,0.0988146396396396,0-20 km,0-10 km,3.274156716417911,2.485762039660057,4.897839799950911,5.173320876373351,0.4509037237214697,-0.19125477104713529,-5.0,-2.314509510714791
GUAMARE,2010,364.437,4796,127.0,168.5,0.0759876980817347,0-20 km,0-10 km,2.8695826771653543,2.162830860534125,4.844187086458591,5.126935749792416,0.39725101022914977,-0.23763989762807025,-4.0,-2.5771838191433347
GUAMARE,2011,346.651,4404,139.0,157.0,0.0787127611262488,0-20 km,0-10 km,2.4938920863309355,2.207968152866242,4.9344739331306915,5.056245805348308,0.48753785690125007,-0.30832984207217873,-3.0,-2.5419499877041583
GUAMARE,2012,183.8,4293,111.0,137.0,0.0428138830654553,0-20 km,0-10 km,1.655855855855856,1.3416058394160584,4.709530201312334,4.919980925828125,0.2625941250828925,-0.44459472159236135,-2.0,-3.150892858302976
GUAMARE,2013,195.0,4401,104.0,127.25,0.0443081117927743,0-20 km,0-10 km,1.875,1.5324165029469548,4.6443908991413725,4.846153655430632,0.19745482291193106,-0.5184219919898547,-1.0,-3.116587508247346
GUAMARE,2014,102.38,2535,62.0,141.0,0.0403865877712031,0-20 km,0-10 km,1.651290322580645,0.7260992907801418,4.127134385045092,4.948759890378168,-0.31980169118434976,-0.415815757042318,0.0,-3.2092575349958476
GUAMARE,2015,117.2,2830,64.0,155.0,0.0414134275618374,0-20 km,0-10 km,1.83125,0.7561290322580645,4.1588830833596715,5.043425116919247,-0.28805299286976993,-0.32115053050123965,1.0,-3.1841501134943724
GUAMARE,2016,228.4,2482,59.0,140.0,0.0920225624496373,0-20 km,0-10 km,3.8711864406779664,1.6314285714285715,4.07753744390572,4.941642422609304,-0.3693986323237217,-0.42293322481118256,2.0,-2.3857214879826985
GUAMARE,2017,230.0,2266,65.0,137.0,0.1015004413062665,0-20 km,0-10 km,3.5384615384615383,1.6788321167883211,4.174387269895637,4.919980925828125,-0.2725488063338046,-0.44459472159236135,3.0,-2.287692132664757
GUAMARE,2018,111.81,2051,65.0,152.0,0.0545148707947342,0-20 km,0-10 km,1.7201538461538461,0.7355921052631579,4.174387269895637,5.0238805208462765,-0.2725488063338046,-0.34069512657420997,4.0,-2.9092817559131054
GUAMARE,2019,296.318,8084,60.0,147.0,0.0366548738248391,0-20 km,0-10 km,4.938633333333333,2.015768707482993,4.0943445622221,4.990432586778736,-0.352591514007341,-0.3741430606417504,5.0,-3.3062088765485202
GUAMARE,2020,188.79,3756,57.0,136.0,0.0502635782747603,0-20 km,0-10 km,3.3121052631578944,1.3881617647058824,4.04305126783455,4.912654885736052,-0.40388480839489116,-0.45192076168443407,6.0,-2.9904745541212034
GUAMARE,2021,203.42719,3347,52.0,134.9,0.0607789632506722,0-20 km,0-10 km,3.912061346153846,1.507985100074129,3.9512437185814275,4.90453376321371,-0.4956923576480139,-0.4600418842067766,7.0,-2.800511549048114
GUAMARE,2022,342.24,4387,71.6,164.9,0.0780123090950535,0-20 km,0-10 km,4.779888268156425,2.0754396604002427,4.2710950739666,5.105339229565553,-0.1758410022628416,-0.25923641785493334,8.0,-2.5508886558321193
GUAMARE,2023,403.91,4467,57.0,155.8,0.0904208641146183,0-20 km,0-10 km,7.086140350877193,2.592490372272144,4.04305126783455,5.048573133436648,-0.40388480839489116,-0.3160025139838387,9.0,-2.403280240485626
GUAMARE,2024,207.4,3479,56.5,123.0,0.0596148318482322,0-20 km,0-10 km,3.6707964601769913,1.686178861788618,4.034240638152395,4.812184355372417,-0.412695438077046,-0.5523912920480694,10.0,-2.819850879356516
MACAU,2001,224.49,3574,208.0,516.8,0.062811975377728,0-20 km,0-10 km,1.0792788461538463,0.4343846749226007,5.337538079701318,6.247655952468392,0.8906020034718765,0.8830803050479057,-13.0,-2.767609532958997
