local,year,boat_type,vessels_monitored,fleet_production_ton,zero_production_flag
GALINHOS,2008,PQM,15,18.06,False
GALINHOS,2009,BMM,0,0.0,True
GALINHOS,2009,BMP,10,34.612,False
GALINHOS,2009,BOM,0,0.0,True
GALINHOS,2009,BOV,19,39.024,False
GALINHOS,2009,CAM,43,63.526,False
GALINHOS,2009,CAV,27,25.229,False
GALINHOS,2009,JAV,5,33.329,False
GALINHOS,2009,PED,1,4.688000000000001,False
GALINHOS,2009,PQM,0,0.0,True
GALINHOS,2009,PQV,4,6.853,False
GALINHOS,2010,BMG,0,0.0,True
GALINHOS,2010,BMM,3,11.278,False
GALINHOS,2010,BMP,16,41.752,False
GALINHOS,2010,BOM,0,0.0,True
GALINHOS,2010,BOV,14,38.647,False
GALINHOS,2010,CAM,64,86.28200000000001,False
GALINHOS,2010,CAR,0,0.0,True
GALINHOS,2010,CAV,10,39.949,False
GALINHOS,2010,JAV,5,10.797,False
